LATITUDE,LONGITUDE,TIME,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.667245,-79.54469,1240,Clear,Dusk,Dry,Other
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.744045,-79.28349,600,Clear,Daylight,Dry,Cyclist Collisions
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.744045,-79.28349,600,Clear,Daylight,Dry,Cyclist Collisions
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.744045,-79.28349,600,Clear,Daylight,Dry,Cyclist Collisions
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.648545,-79.38089,837,Clear,Daylight,Dry,Pedestrian Collisions
43.699595,-79.318797,156,Clear,Dark,Wet,Approaching
43.646145,-79.39179,1410,Clear,Dark,Dry,Pedestrian Collisions
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.648545,-79.38089,837,Clear,Daylight,Dry,Pedestrian Collisions
43.648545,-79.38089,837,Clear,Daylight,Dry,Pedestrian Collisions
43.691345,-79.46969,1050,Rain,Daylight,Wet,Angle
43.691345,-79.46969,1050,Rain,Daylight,Wet,Angle
43.691345,-79.46969,1050,Rain,Daylight,Wet,Angle
43.691345,-79.46969,1050,Rain,Daylight,Wet,Angle
43.691345,-79.46969,1050,Rain,Daylight,Wet,Angle
43.656345,-79.45249,532,Clear,Daylight,Dry,Pedestrian Collisions
43.683745,-79.48249,594,Clear,Daylight,Dry,Cyclist Collisions
43.683745,-79.48249,594,Clear,Daylight,Dry,Cyclist Collisions
43.683745,-79.48249,594,Clear,Daylight,Dry,Cyclist Collisions
43.744545,-79.29829,50,Clear,Dark,Dry,SMV Other
43.744545,-79.29829,50,Clear,Dark,Dry,SMV Other
43.744545,-79.29829,50,Clear,Dark,Dry,SMV Other
43.744545,-79.29829,50,Clear,Dark,Dry,SMV Other
43.744545,-79.29829,50,Clear,Dark,Dry,SMV Other
43.758145,-79.31389,566,Clear,Daylight,Dry,Turning Movement
43.722345,-79.59789,1093,Rain,Dark,Wet,Pedestrian Collisions
43.758145,-79.31389,566,Clear,Daylight,Dry,Turning Movement
43.758145,-79.31389,566,Clear,Daylight,Dry,Turning Movement
43.765245,-79.42519,728,Clear,Daylight,Dry,Pedestrian Collisions
43.765245,-79.42519,728,Clear,Daylight,Dry,Pedestrian Collisions
43.765245,-79.42519,728,Clear,Daylight,Dry,Pedestrian Collisions
43.787345,-79.35299,984,Clear,Daylight,Dry,Angle
43.787345,-79.35299,984,Clear,Daylight,Dry,Angle
43.787345,-79.35299,984,Clear,Daylight,Dry,Angle
43.787345,-79.35299,984,Clear,Daylight,Dry,Angle
43.602045,-79.49909,1107,Clear,Daylight,Dry,Pedestrian Collisions
43.602045,-79.49909,1107,Clear,Daylight,Dry,Pedestrian Collisions
43.765445,-79.19949,1215,Clear,Daylight,Dry,Rear End
43.763445,-79.29139,597,Rain,Daylight,Wet,Pedestrian Collisions
43.765445,-79.19949,1215,Clear,Daylight,Dry,Rear End
43.765445,-79.19949,1215,Clear,Daylight,Dry,Rear End
43.764545,-79.31819,1290,Clear,Dark,Dry,Turning Movement
43.764545,-79.31819,1290,Clear,Dark,Dry,Turning Movement
43.764545,-79.31819,1290,Clear,Dark,Dry,Turning Movement
43.640945,-79.38069,87,Clear,Dark,Dry,Angle
43.705545,-79.43839,70,Clear,Dark,Dry,SMV Other
43.744145,-79.40669,1110,Clear,Daylight,Dry,Turning Movement
43.640945,-79.38069,87,Clear,Dark,Dry,Angle
43.640945,-79.38069,87,Clear,Dark,Dry,Angle
43.640945,-79.38069,87,Clear,Dark,Dry,Angle
43.687645,-79.39389,854,Clear,Daylight,Dry,Pedestrian Collisions
43.687645,-79.39389,854,Clear,Daylight,Dry,Pedestrian Collisions
43.687645,-79.39389,854,Clear,Daylight,Dry,Pedestrian Collisions
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.640445,-79.43729,645,Clear,Daylight,Dry,Pedestrian Collisions
43.639445,-79.38679,1010,Clear,Daylight,Dry,Angle
43.636445,-79.39959,1103,Clear,Daylight,Dry,Turning Movement
43.636445,-79.39959,1103,Clear,Daylight,Dry,Turning Movement
43.636445,-79.39959,1103,Clear,Daylight,Dry,Turning Movement
43.636445,-79.39959,1103,Clear,Daylight,Dry,Turning Movement
43.636445,-79.39959,1103,Clear,Daylight,Dry,Turning Movement
43.605445,-79.49109,790,Rain,Daylight,Wet,Sideswipe
43.605445,-79.49109,790,Rain,Daylight,Wet,Sideswipe
43.605445,-79.49109,790,Rain,Daylight,Wet,Sideswipe
43.605445,-79.49109,790,Rain,Daylight,Wet,Sideswipe
43.744245,-79.59539,793,Clear,Daylight,Dry,Turning Movement
43.744245,-79.59539,793,Clear,Daylight,Dry,Turning Movement
43.744245,-79.59539,793,Clear,Daylight,Dry,Turning Movement
43.744245,-79.59539,793,Clear,Daylight,Dry,Turning Movement
43.744245,-79.59539,793,Clear,Daylight,Dry,Turning Movement
43.673845,-79.28189,1078,Clear,Daylight,Dry,Pedestrian Collisions
43.673845,-79.28189,1078,Clear,Daylight,Dry,Pedestrian Collisions
43.807445,-79.17039,505,Clear,Daylight,Dry,Pedestrian Collisions
43.807445,-79.17039,505,Clear,Daylight,Dry,Pedestrian Collisions
43.686245,-79.43189,1095,Clear,Daylight,Dry,Cyclist Collisions
43.686245,-79.43189,1095,Clear,Daylight,Dry,Cyclist Collisions
43.643045,-79.57379,110,Clear,Dark,Dry,Other
43.643045,-79.57379,110,Clear,Dark,Dry,Other
43.758945,-79.25709,960,Other,Daylight,Other,Pedestrian Collisions
43.758945,-79.25709,960,Other,Daylight,Other,Pedestrian Collisions
43.663145,-79.39269,660,Clear,Daylight,Dry,Cyclist Collisions
43.663145,-79.39269,660,Clear,Daylight,Dry,Cyclist Collisions
43.647845,-79.39599,790,Clear,Daylight,Dry,Pedestrian Collisions
43.647845,-79.39599,790,Clear,Daylight,Dry,Pedestrian Collisions
43.647845,-79.39599,790,Clear,Daylight,Dry,Pedestrian Collisions
43.649645,-79.43139,560,Clear,Daylight,Dry,Cyclist Collisions
43.649645,-79.43139,560,Clear,Daylight,Dry,Cyclist Collisions
43.649645,-79.43139,560,Clear,Daylight,Dry,Cyclist Collisions
43.642845,-79.57469,790,Clear,Daylight,Dry,Pedestrian Collisions
43.642845,-79.57469,790,Clear,Daylight,Dry,Pedestrian Collisions
43.642845,-79.57469,790,Clear,Daylight,Dry,Pedestrian Collisions
43.702745,-79.41739,960,Clear,Daylight,Dry,Turning Movement
43.702745,-79.41739,960,Clear,Daylight,Dry,Turning Movement
43.702745,-79.41739,960,Clear,Daylight,Dry,Turning Movement
43.710745,-79.37709,775,Clear,Daylight,Dry,Rear End
43.710745,-79.37709,775,Clear,Daylight,Dry,Rear End
43.710745,-79.37709,775,Clear,Daylight,Dry,Rear End
43.710745,-79.37709,775,Clear,Daylight,Dry,Rear End
43.646445,-79.40379,1198,Clear,Daylight,Dry,Angle
43.646445,-79.40379,1198,Clear,Daylight,Dry,Angle
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.646145,-79.39179,1410,Clear,Dark,Dry,Pedestrian Collisions
43.752445,-79.40809,620,Clear,Daylight,Dry,Rear End
43.640445,-79.43729,645,Clear,Daylight,Dry,Pedestrian Collisions
43.684874,-79.316188,195,Snow,"Dark, artificial",Slush,SMV Other
43.721145,-79.57119,556,Clear,Daylight,Dry,Pedestrian Collisions
43.656345,-79.45249,532,Clear,Daylight,Dry,Pedestrian Collisions
43.744145,-79.40669,1110,Clear,Daylight,Dry,Turning Movement
43.763445,-79.29139,597,Rain,Daylight,Wet,Pedestrian Collisions
43.705545,-79.43839,70,Clear,Dark,Dry,SMV Other
43.722345,-79.59789,1093,Rain,Dark,Wet,Pedestrian Collisions
43.658345,-79.44269,1350,Clear,Dark,Dry,Pedestrian Collisions
43.658345,-79.44269,1350,Clear,Dark,Dry,Pedestrian Collisions
43.675745,-79.55709,983,Rain,Daylight,Wet,Sideswipe
43.675745,-79.55709,983,Rain,Daylight,Wet,Sideswipe
43.784045,-79.25269,984,Clear,Daylight,Dry,Pedestrian Collisions
43.784045,-79.25269,984,Clear,Daylight,Dry,Pedestrian Collisions
43.784045,-79.25269,984,Clear,Daylight,Dry,Pedestrian Collisions
43.659845,-79.49149,1035,Rain,Daylight,Wet,Turning Movement
43.659845,-79.49149,1035,Rain,Daylight,Wet,Turning Movement
43.659845,-79.49149,1035,Rain,Daylight,Wet,Turning Movement
43.654545,-79.36399,400,Clear,Daylight,Dry,Angle
43.654545,-79.36399,400,Clear,Daylight,Dry,Angle
43.654545,-79.36399,400,Clear,Daylight,Dry,Angle
43.679345,-79.57879,315,Clear,Dark,Dry,SMV Other
43.679345,-79.57879,315,Clear,Dark,Dry,SMV Other
43.729145,-79.30449,837,Rain,Daylight,Wet,Pedestrian Collisions
43.729145,-79.30449,837,Rain,Daylight,Wet,Pedestrian Collisions
43.631745,-79.43259,782,Clear,Daylight,Dry,Cyclist Collisions
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.784645,-79.48109,868,Clear,Daylight,Dry,Sideswipe
43.700245,-79.33769,1428,Clear,Dark,Dry,Approaching
43.700245,-79.33769,1428,Clear,Dark,Dry,Approaching
43.700245,-79.33769,1428,Clear,Dark,Dry,Approaching
43.700245,-79.33769,1428,Clear,Dark,Dry,Approaching
43.796345,-79.25089,344,Clear,Daylight,Other,Approaching
43.796345,-79.25089,344,Clear,Daylight,Other,Approaching
43.721345,-79.54559,1295,Rain,Dark,Wet,Angle
43.721345,-79.54559,1295,Rain,Dark,Wet,Angle
43.721345,-79.54559,1295,Rain,Dark,Wet,Angle
43.721345,-79.54559,1295,Rain,Dark,Wet,Angle
43.602045,-79.51169,970,Clear,Daylight,Dry,Cyclist Collisions
43.602045,-79.51169,970,Clear,Daylight,Dry,Cyclist Collisions
43.602045,-79.51169,970,Clear,Daylight,Dry,Cyclist Collisions
43.694445,-79.54549,986,Clear,Daylight,Dry,Pedestrian Collisions
43.694445,-79.54549,986,Clear,Daylight,Dry,Pedestrian Collisions
43.694445,-79.54549,986,Clear,Daylight,Dry,Pedestrian Collisions
43.694445,-79.54549,986,Clear,Daylight,Dry,Pedestrian Collisions
43.702845,-79.50379,440,Clear,Daylight,Dry,Pedestrian Collisions
43.702845,-79.50379,440,Clear,Daylight,Dry,Pedestrian Collisions
43.799645,-79.35409,875,Clear,Daylight,Dry,Turning Movement
43.799645,-79.35409,875,Clear,Daylight,Dry,Turning Movement
43.799645,-79.35409,875,Clear,Daylight,Dry,Turning Movement
43.799645,-79.35409,875,Clear,Daylight,Dry,Turning Movement
43.799645,-79.35409,875,Clear,Daylight,Dry,Turning Movement
43.634645,-79.47159,1315,Clear,Dark,Dry,SMV Other
43.791945,-79.35809,392,Clear,Daylight,Dry,Pedestrian Collisions
